x,y,z
0.0021119977844216813,0.003976309750833017,0.002047117866305082
-0.002313548633652055,-0.0009746967888577613,0.0014855305248793263
0.0032811150000869767,-0.0029696998352027873,8.286082305187926e-05
1.8358774153667325e-05,0.0016629789824502065,-0.0006897319149823685
-0.0009834565796078636,0.0008904708183270953,0.0020033024547635586
0.0004067193674413111,0.004569817767546715,0.0007353290229340345
-0.0003300917114796023,0.001105800425250331,-0.004209529018643539
-0.0019097458990369283,-9.725732356135956e-06,0.004017791696527765
-5.009772861447143e-05,-0.001663100716409765,-0.0032659471492325356
0.001193819440244932,0.0023941077627174564,0.001822136393287648
0.0018656880114584706,0.002172343646833295,-0.0009441670267269543
